title de-DE;title en-EN;title es-ES;title fr-FR;title it-IT;title pl-PL;title pt-BR;title ru-RU;title zh-Hans;title zh-Hant;text de-DE;text en-EN;text es-ES;text fr-FR;text it-IT;text pl-PL;text pt-BR;text ru-RU;text zh-Hans;text zh-Hant;id;set;type;attack;rarity;defense;faction;kredits;blitz;mobilize;smokescreen;fury;pincer;alpine;guard;ambush;intel3;heavyArmor1;intel2;heavyArmor2;image de-DE;image en-EN;image es-ES;image fr-FR;image it-IT;image pl-PL;image pt-BR;image ru-RU;image zh-Hans;image zh-Hant
2. ALPINI-REGIMENT;2nd ALPINI REGIMENT;2.º REGIMIENTO DE ALPINOS;2e RÉGIMENT ALPIN;2° REG. ALPINI;2 PUŁK ALPEJSKI;2º REGIMENTO ALPINI;2-й ПОЛК «АЛЬПИНИ»;第 2 山地团;第 2 山地團;Einsatz: Wenn du eine andere Einheit mit Alpin kontrollierst, ziehe eine Karte.;Deployment: If you control another Alpine unit, draw a card.;Despliegue: Si controlas otra unidad alpina, roba una carta.;Déploiement : Si vous contrôlez une autre unité alpine, piochez une carte.;Schieramento: se controlli un'altra unità Alpina, pesca una carta.;Rozmieszczenie: jeśli kontrolujesz kolejną jednostkę alpejską, dobierz kartę.;Posicionamento: se você controla outra unidade alpina, compre uma carta.;Размещение: если под вашим командованием есть другой альпийский отряд, возьмите карту.;部署：如果你控制其他山地，抽一张牌。;部署：如果你控制其他山地，抽一張牌。;2nd_alpini_regiment;Allegiance;infantry;2;Limited;2;Italy;2;;;;;;1;;;;;;;https://www.kards.com//images/card/v15/de-DE/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/en-EN/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/es-ES/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/fr-FR/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/it-IT/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/pl-PL/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/pt-BR/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/ru-RU/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/zh-Hans/2nd_alpini_regiment.png;https://www.kards.com//images/card/v15/zh-Hant/2nd_alpini_regiment.png
2. MARINEBATALLION;2nd MARINES BATTALION;2.º BATALLÓN DE MARINES;2e FUSILIERS MARINS;2° BATTAGLIONE MARINES;2 BATALION PIECHOTY MORSKIEJ;2º BATALHÃO DE MARINES;2-й БАТАЛЬОН МОРСКОЙ ПЕХОТЫ;海军陆战队第 2 营;海軍陸戰隊第 2 營;Der dieser Einheit zugefügte Kampfschaden wird verdoppelt.;Combat damage dealt to this unit is doubled.;El daño de combate infligido a esta unidad se duplica.;Les dégâts infligés à cette unité au combat sont doublés.;Subisce doppi danni da combattimento.;Obrażenia w walce zadawane tej jednostce są podwojone.;O dano de combate causado a esta unidade é dobrado.;Получает двойной урон в бою.;此单位受到的战斗伤害翻倍。;此單位受到的戰鬥傷害翻倍。;2nd_marines_battalion;Legions;infantry;2;Standard;4;Soviet;2;1;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/en-EN/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/es-ES/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/fr-FR/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/it-IT/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/pl-PL/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/pt-BR/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/ru-RU/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/zh-Hans/2nd_marines_battalion.png;https://www.kards.com//images/card/v15/zh-Hant/2nd_marines_battalion.png
2-PFÜNDER;2 POUNDER;CAÑÓN DE 2 LIBRAS;2 POUNDER;2 POUNDER;ARMATA 2-FUNTOWA;2 POUNDER;2-ФУНТОВОЕ ОРУДИЕ;2 磅炮;2 磅炮;Hat +1 Angriff gegen Panzer.;Has +1 attack against tanks.;Tiene +1 de ataque contra tanques.;Gagne +1 d’attaque contre les chars.;Ha +1 attacco contro i carri armati.;Otrzymuje +1 do ataku przeciwko czołgom.;Tem +1 de ataque contra tanques.;Имеет +1 к атаке против танков.;对战坦克时，+1 攻击力。;對戰坦克時，+1 攻擊力。;2_pounder;Base;artillery;1;Standard;2;Britain;2;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/2_pounder.png;https://www.kards.com//images/card/v15/en-EN/2_pounder.png;https://www.kards.com//images/card/v15/es-ES/2_pounder.png;https://www.kards.com//images/card/v15/fr-FR/2_pounder.png;https://www.kards.com//images/card/v15/it-IT/2_pounder.png;https://www.kards.com//images/card/v15/pl-PL/2_pounder.png;https://www.kards.com//images/card/v15/pt-BR/2_pounder.png;https://www.kards.com//images/card/v15/ru-RU/2_pounder.png;https://www.kards.com//images/card/v15/zh-Hans/2_pounder.png;https://www.kards.com//images/card/v15/zh-Hant/2_pounder.png
3,7-cm-FLAK 37;3.7cm FLAK 37;FLAK 37 de 3,7cm;FLAK 37 de 3,7 cm;FLAK 37 da 3,7 cm;3,7cm FLAK 37;FLAK 37 3,7 cm;3,7 cm FLAK 37;自行高炮 37型;自行高炮 37型;;;;;;;;;;;3_7cm_flak_37;Base;tank;1;Standard;2;Germany;2;1;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/en-EN/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/es-ES/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/fr-FR/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/it-IT/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/pl-PL/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/pt-BR/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/ru-RU/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/zh-Hans/3_7cm_flak_37.png;https://www.kards.com//images/card/v15/zh-Hant/3_7cm_flak_37.png
3. FALLSCHIRMJÄGERREGIMENT;3. FALLSCHIRMJÄGER;3.er FALLSCHIRMJÄGER;3e FALLSCHIRMJÄGER;3° FALLSCHIRMJÄGER;3 FALLSCHIRMJÄGER;3ª FALLSCHIRMJÄGER;3-й БАТАЛЬОН FALLSCHIRMJÄGER;第 3 空降猎兵团;第 3 空降獵兵團;Einsatz: Erhält +1+1 für jeden von dir kontrollierten Einheitentyp, der nicht Infanterie ist.;Deployment: Gets +1+1 for each non-infantry unit type you control.;Despliegue: Otorga +1+1 por cada tipo de unidad distinta a infantería que controles.;Déploiement : Gagne +1 +1 pour chaque type d'unité non-infanterie que vous contrôlez.;Schieramento: ottiene +1+1 per ogni tipo di unità non fanteria che controlli.;Rozmieszczenie: otrzymuje +1+1 za każdy posiadany przez ciebie rodzaj jednostek, które nie są piechotą.;Posicionamento: ganha +1+1 para cada unidade não infantaria no seu controle.;Размещение: Получает +1 +1 за каждый не пехотный тип отряда под вашим командованием.;部署：你在战场上每有一种非步兵单位，就获得一次 +1+1。;部署：你在戰場上每有一種非步兵單位，就獲得一次 +1+1。;3_fallschirmjger;Base;infantry;2;Limited;2;Germany;2;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/3_fallschirmjger.png;https://www.kards.com//images/card/v15/en-EN/3_fallschirmjger.png;https://www.kards.com//images/card/v15/es-ES/3_fallschirmjger.png;https://www.kards.com//images/card/v15/fr-FR/3_fallschirmjger.png;https://www.kards.com//images/card/v15/it-IT/3_fallschirmjger.png;https://www.kards.com//images/card/v15/pl-PL/3_fallschirmjger.png;https://www.kards.com//images/card/v15/pt-BR/3_fallschirmjger.png;https://www.kards.com//images/card/v15/ru-RU/3_fallschirmjger.png;https://www.kards.com//images/card/v15/zh-Hans/3_fallschirmjger.png;https://www.kards.com//images/card/v15/zh-Hant/3_fallschirmjger.png
3. GARDEREGIMENT;3rd GUARDS REGIMENT;3.º REGIMIENTO DE GUARDIAS;3e RÉGIMENT DE LA GARDE;3° REG. DELLA GUARDIA;3 GWARDYJSKI PUŁK STRZELCÓW;3º REGIMENTO DE GUARDAS;3-й ГВАРДЕЙСКИЙ ПОЛК;近卫步兵第 3 团;近衛步兵第 3 團;;;;;;;;;;;3rd_guards_regiment;Base;infantry;3;Standard;2;Soviet;2;;;;;;;;1;;;;;https://www.kards.com//images/card/v15/de-DE/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/en-EN/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/es-ES/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/fr-FR/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/it-IT/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/pl-PL/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/pt-BR/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/ru-RU/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/zh-Hans/3rd_guards_regiment.png;https://www.kards.com//images/card/v15/zh-Hant/3rd_guards_regiment.png
456. SCHÜTZENREGIMENT;456th RIFLE REGIMENT;456.º REGIMIENTO DE FUSILES;456e RÉGIMENT DE FUSILIERS;456° REG. FUCILIERI;456 PUŁK STRZELCÓW;456º REGIMENTO DE RIFLES;456-й СТРЕЛКОВЫЙ ПОЛК;步兵第 456 团;步兵第 456 團;Erhält +1+1 und Wache wenn dein HQ beschädigt wird.;Gets +1+1 and Guard when your HQ takes damage.;Obtiene +1+1 y Guardia cuando tu cuartel general recibe daño.;Gagne +1+1 et Garde lorsque votre QG subit des dégâts.;Quando il tuo QG subisce danni, ottiene +1+1 e Guardia .;Otrzymuje +1+1 i Straż, gdy Twój sztab zostanie uszkodzony.;Ganha +1+1 e Guarda, toda vez que seu QG sofre danos.;Получает +1 +1 и эффект Охрана когда ваш штаб получает урон.;你的总部受到伤害时，获得 +1+1 和守护。;你的總部受到傷害時，獲得 +1+1 和守護。;456th_rifle_regiment;Breakthrough;infantry;1;Standard;3;Soviet;2;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/en-EN/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/es-ES/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/fr-FR/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/it-IT/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/pl-PL/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/pt-BR/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/ru-RU/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/zh-Hans/456th_rifle_regiment.png;https://www.kards.com//images/card/v15/zh-Hant/456th_rifle_regiment.png
45-mm-PANZERABWEHRKANONE;45 mm ANTI-TANK GUN;CAÑÓN ANTITANQUE DE 45 mm;CANON ANTICHAR DE 45 mm;ANTICARRO DA 45mm;DZIAŁO PRZECIWPANCERNE 45 mm;ARMA ANTITANQUE DE 45 mm;45-мм ПРОТИВОТАНКОВАЯ ПУШКА;45毫米反坦克炮;45毫米反坦克炮;Hat +2 Angriff gegen Panzer.;Has +2 attack against tanks.;Tiene +2 de ataque contra tanques.;Gagne +2 d’attaque contre les chars.;Ha +2 attacco contro i carri armati.;Otrzymuje +2 do ataku przeciwko czołgom.;Tem +2 de ataque contra tanques.;Получает +2 к атаке против танков.;对战坦克时，+2 攻击力。;對戰坦克時，+2 攻擊力。;45_mm_antitank_gun;Base;artillery;1;Standard;2;Soviet;2;;;;;;;;1;;;;;https://www.kards.com//images/card/v15/de-DE/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/en-EN/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/es-ES/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/fr-FR/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/it-IT/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/pl-PL/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/pt-BR/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/ru-RU/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/zh-Hans/45_mm_antitank_gun.png;https://www.kards.com//images/card/v15/zh-Hant/45_mm_antitank_gun.png
48. INFANTERIEREGIMENT;48e RÉGIMENT D'INFANTERIE;48e RÉGIMENT D'INFANTERIE;48e RÉGIMENT D’INFANTERIE;48e RÉGIMENT D'INFANTERIE;48e RÉGIMENT D'INFANTERIE;48e RÉGIMENT D'INFANTERIE;48-й ПЕХОТНЫЙ ПОЛК;第 48 步兵团;第 48 步兵團;Hat Wache, wenn sie nicht Mobilisieren hat.;Has Guard when it doesn't have Mobilize.;Tiene Guardia cuando no tiene Movilizar.;Possède Garde lorsqu’il n’est pas Mobilisé.;Ottiene Guardia quando perde Mobilitazione.;Otrzymuje Straż, jeśli nie posiada Mobilizacji.;Tem guarda quando não tem mobilizar.;Имеет эффект «Охрана», если не действует эффект Мобилизация.;此单位不具有动员时，具有守护。;此單位不具有動員時，具有守護。;48e_rgiment_dinfanterie;Allegiance;infantry;1;Standard;3;France;2;;1;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/en-EN/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/es-ES/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/fr-FR/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/it-IT/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/pl-PL/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/pt-BR/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/ru-RU/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/zh-Hans/48e_rgiment_dinfanterie.png;https://www.kards.com//images/card/v15/zh-Hant/48e_rgiment_dinfanterie.png
507. PIR;507th PIR;507.º PIR;507e PARACHUTISTE;507° PIR;507 PUŁK PIECHOTY SPADOCHRONOWEJ;507º PIR;507-й ДЕСАНТНЫЙ ПОЛК;第 507 空降步兵团;第 507 空降步兵團;Gib am Ende deines Zuges einer zufälligen verbündeten Infanterieeinheit +2 Angriff.;At the end of your turn, give a random friendly infantry unit +2 attack.;Al final de tu turno, otorga +2 de ataque a una unidad de infantería aliada al azar.;À la fin de votre tour, confère +2 d'attaque à une infanterie alliée au hasard.;Alla fine del tuo turno, dai +2 attacco a un'unità di fanteria alleata casuale.;Na końcu twojej tury zapewnij swojej losowej piechocie +2 do ataku.;No final do seu turno, dê +2 de ataque a uma unidade de infantaria aliada aleatória.;В конце вашего хода даёт случайной дружественной пехоте +2 к атаке.;在你的回合结束时，随机使一个友方步兵获得 +2 攻击力。;在你的回合結束時，隨機使一個友方步兵獲得 +2 攻擊力。;507th_pir;Legions;infantry;2;Elite;3;USA;2;;;1;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/507th_pir.png;https://www.kards.com//images/card/v15/en-EN/507th_pir.png;https://www.kards.com//images/card/v15/es-ES/507th_pir.png;https://www.kards.com//images/card/v15/fr-FR/507th_pir.png;https://www.kards.com//images/card/v15/it-IT/507th_pir.png;https://www.kards.com//images/card/v15/pl-PL/507th_pir.png;https://www.kards.com//images/card/v15/pt-BR/507th_pir.png;https://www.kards.com//images/card/v15/ru-RU/507th_pir.png;https://www.kards.com//images/card/v15/zh-Hans/507th_pir.png;https://www.kards.com//images/card/v15/zh-Hant/507th_pir.png
59. PANZERGRENADIER-DIVISION;59. PANZERGRENADIER;59. PANZERGRENADIER;59e PANZERGRENADIER;59° PANZERGRENADIER;59 PANZERGRENADIER;59º PANZERGRENADIER;59-й ПОЛК PANZERGRENADIER;第 59 装甲掷弹兵团;第 59 裝甲擲彈兵團;59. Panzergrenadier-Division kann sich im selben Zug bewegen und angreifen.;59. Panzergrenadier can move and attack during the same turn.;La 59.ª de Panzergrenadier puede moverse y atacar en el mismo turno.;Le 59e PANZERGRENADIER peut se déplacer et attaquer pendant le même tour.;59° Panzergrenadier può muoversi e attaccare nello stesso turno.;59 Pułk Panzergrenadierów może się poruszać i atakować w czasie jednej tury.;O 59º Panzergrenadier pode se mover e atacar durante o mesmo turno.;59-й ПОЛК PANZERGRENADIER может передвигаться и атаковать за один ход.;此单位可以在同一回合中移动和攻击。;此單位可以在同一回合中移動和攻擊。;59_panzergrenadier;Base;infantry;3;Standard;2;Germany;2;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/59_panzergrenadier.png;https://www.kards.com//images/card/v15/en-EN/59_panzergrenadier.png;https://www.kards.com//images/card/v15/es-ES/59_panzergrenadier.png;https://www.kards.com//images/card/v15/fr-FR/59_panzergrenadier.png;https://www.kards.com//images/card/v15/it-IT/59_panzergrenadier.png;https://www.kards.com//images/card/v15/pl-PL/59_panzergrenadier.png;https://www.kards.com//images/card/v15/pt-BR/59_panzergrenadier.png;https://www.kards.com//images/card/v15/ru-RU/59_panzergrenadier.png;https://www.kards.com//images/card/v15/zh-Hans/59_panzergrenadier.png;https://www.kards.com//images/card/v15/zh-Hant/59_panzergrenadier.png
5. PANZERGRENADIERE;5. PANZERGRENADIER;5.º PANZERGRENADIER;5e PANZERGRENADIER;5° PANZERGRENADIER;5 PANZERGRENADIER;5º PANZERGRENADIER;5-й ПОЛК PANZERGRENADIER;第 5 装甲掷弹兵团;第 5 裝甲擲彈兵團;Zange: Schnellfeuer;Pincer: Fury;Pinza: Furia;Tenaille : Fureur;Tenaglia: Furia;Kleszcze: Furia;Pinça: Fúria;Клещи: Ярость;钳击：奋战;鉗擊：奮戰;5_panzergrenadier;Breakthrough;infantry;2;Standard;2;Germany;2;;;;;1;;;;;;;;https://www.kards.com//images/card/v15/de-DE/5_panzergrenadier.png;https://www.kards.com//images/card/v15/en-EN/5_panzergrenadier.png;https://www.kards.com//images/card/v15/es-ES/5_panzergrenadier.png;https://www.kards.com//images/card/v15/fr-FR/5_panzergrenadier.png;https://www.kards.com//images/card/v15/it-IT/5_panzergrenadier.png;https://www.kards.com//images/card/v15/pl-PL/5_panzergrenadier.png;https://www.kards.com//images/card/v15/pt-BR/5_panzergrenadier.png;https://www.kards.com//images/card/v15/ru-RU/5_panzergrenadier.png;https://www.kards.com//images/card/v15/zh-Hans/5_panzergrenadier.png;https://www.kards.com//images/card/v15/zh-Hant/5_panzergrenadier.png
5. BRIGADE;5th BRIGADE;5.ª BRIGADA;5e BRIGADE;5ª BRIGATA;5 BRYGADA;5ª BRIGADA;5-Я БРИГАДА;第 5 步兵旅;第 5 步兵旅;;;;;;;;;;;5th_brigade;Base;infantry;1;Standard;5;Britain;2;;;;;;;1;;;;;;https://www.kards.com//images/card/v15/de-DE/5th_brigade.png;https://www.kards.com//images/card/v15/en-EN/5th_brigade.png;https://www.kards.com//images/card/v15/es-ES/5th_brigade.png;https://www.kards.com//images/card/v15/fr-FR/5th_brigade.png;https://www.kards.com//images/card/v15/it-IT/5th_brigade.png;https://www.kards.com//images/card/v15/pl-PL/5th_brigade.png;https://www.kards.com//images/card/v15/pt-BR/5th_brigade.png;https://www.kards.com//images/card/v15/ru-RU/5th_brigade.png;https://www.kards.com//images/card/v15/zh-Hans/5th_brigade.png;https://www.kards.com//images/card/v15/zh-Hant/5th_brigade.png
5. INFANTERIEREGIMENT;5th INFANTRY REGIMENT;5.º REGIMIENTO DE INFANTERÍA;5e RÉGIMENT D’INFANTERIE;5° REGGIMENTO FANTERIA;5 PUŁK PIECHOTY;5º REGIMENTO DE INFANTARIA;5-й ПЕХОТНЫЙ ПОЛК;第 5 步兵团;第 5 步兵團;Einheit erhält +1+1, wenn sie sich an die Front bewegt.;Gets +1+1 when it moves into the frontline.;Obtiene +1+1 cuando entra en el frente.;Gagne +1+1 lorsqu’il rejoint la première ligne.;Ottiene +1+1 quando si sposta in prima linea.;Po przemieszczeniu na linię frontu otrzymuje +1+1.;Obtém +1+1 quando move para a linha de frente.;Получает +1 +1 при перемещении на линию фронта.;进入前线时获得 +1+1。;進入前線時獲得 +1+1。;5th_infantry_regiment;Allegiance;infantry;2;Standard;3;USA;2;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/en-EN/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/es-ES/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/fr-FR/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/it-IT/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/pl-PL/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/pt-BR/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/ru-RU/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/zh-Hans/5th_infantry_regiment.png;https://www.kards.com//images/card/v15/zh-Hant/5th_infantry_regiment.png
6. INFANTERIEREGIMENT;6th INFANTRY REGIMENT;6.º REGIMIENTO DE INFANTERÍA;6e RÉGIMENT D’INFANTERIE;6° REG. FANTERIA;6 PUŁK PIECHOTY;6º REGIMENTO DE INFANTARIA;6-й ПЕХОТНЫЙ ПОЛК;名古屋联队;名古屋聯隊;;;;;;;;;;;6th_infantry_regiment;Base;infantry;2;Standard;2;Japan;2;;;;1;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/en-EN/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/es-ES/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/fr-FR/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/it-IT/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/pl-PL/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/pt-BR/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/ru-RU/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/zh-Hans/6th_infantry_regiment.png;https://www.kards.com//images/card/v15/zh-Hant/6th_infantry_regiment.png
74. SCHLESISCHES REGIMENT;74th SILESIAN REGIMENT;74.º REGIMIENTO SILESIANO;74e RÉGIMENT DE SILÉSIE;74° REG. DELLA SLESIA;74 GÓRNOŚLĄSKI PUŁK PIECHOTY;74º REGIMENTO SILESIANO;74-Й СИЛЕЗСКИЙ ПОЛК;西里西亚第 74 步兵团;西里西亞第 74 步兵團;Wenn eine feindliche Einheit an Front zieht, setze sie fest.;When an enemy unit moves into the frontline, pin it.;Cuando una unidad enemiga se mueva al frente de batalla, inmovilízala.;Lorsqu'une unité ennemie rejoint la première ligne, immobilisez-la.;Quando un'unità nemica si muove in prima linea, Bloccala.;Gdy jednostka przeciwnika przemieści się na linię frontu, przyszpil ją.;Quando uma unidade inimiga se mover para a linha de frente, fixe-a.;Когда вражеский отряд перемещается на линию фронта, блокирует его.;一个敌方单位进入前线时，将其压制。;一個敵方單位進入前線時，將其壓制。;74th_silesian_regiment;Legions;infantry;2;Standard;2;Poland;2;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/en-EN/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/es-ES/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/fr-FR/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/it-IT/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/pl-PL/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/pt-BR/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/ru-RU/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/zh-Hans/74th_silesian_regiment.png;https://www.kards.com//images/card/v15/zh-Hant/74th_silesian_regiment.png
75-mm-GEBIRGSGESCHÜTZ;75mm MOUNTAIN GUN;Cañón de montaña de 75 mm;CANON DE MONTAGNE de 75 mm;CANNONE da 45mm;ARMATA GÓRSKA 75 mm;CANHÃO DE MONTANHA DE 75 mm;75-мм ГОРНОЕ ОРУДИЕ;四一式山炮;四一式山炮;Kann das feindliche HQ nicht angreifen.;Cannot attack the enemy HQ.;No puede atacar el cuartel general del enemigo.;Ne peut pas attaquer le QG ennemi.;Non puoi attaccare il QG nemico.;Nie można zaatakować sztabu przeciwnika.;Não é possível atacar o QG do inimigo.;Не может атаковать вражеский штаб.;无法攻击敌方总部。;無法攻擊敵方總部。;75mm_mountain_gun;Base;artillery;3;Special;2;Japan;2;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/en-EN/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/es-ES/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/fr-FR/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/it-IT/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/pl-PL/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/pt-BR/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/ru-RU/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/zh-Hans/75mm_mountain_gun.png;https://www.kards.com//images/card/v15/zh-Hant/75mm_mountain_gun.png
7TP;7TP;7TP;7TP;7TP;7TP;7TP;7TP;7TP;7TP;Wenn diese Einheit den Kampf überlebt, ziehe eine Karte.;When this unit survives combat, draw a card.;Cuando esta unidad sobrevive al combate, roba una carta.;Lorsque cette unité survit au combat, piochez une carte.;Quando questa unità sopravvive in combattimento, pesca una carta.;Gdy ta jednostka przetrwa walkę, dobierz kartę.;Quando esta unidade sobreviver ao combate, compre uma carta.;Когда этот отряд выживает в бою, возьмите карту.;此单位若在交战之后存活，抽一张牌。;此單位若在交戰之後存活，抽一張牌。;7tp;Legions;tank;2;Special;3;Poland;2;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/7tp.png;https://www.kards.com//images/card/v15/en-EN/7tp.png;https://www.kards.com//images/card/v15/es-ES/7tp.png;https://www.kards.com//images/card/v15/fr-FR/7tp.png;https://www.kards.com//images/card/v15/it-IT/7tp.png;https://www.kards.com//images/card/v15/pl-PL/7tp.png;https://www.kards.com//images/card/v15/pt-BR/7tp.png;https://www.kards.com//images/card/v15/ru-RU/7tp.png;https://www.kards.com//images/card/v15/zh-Hans/7tp.png;https://www.kards.com//images/card/v15/zh-Hant/7tp.png
